vehicle_id,position_x,position_y,position_z,mvec_x,mvec_y,mvec_z,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,bbox_z_min,bbox_z_max
0,10.208463174512195,-17.94518559152439,0.5428324223,0.0021582668059458854,0.008819542725614582,-0.20603354275000008,8.128680229,12.29869843,-19.27727509,-17.56117249,0.2428324223,1.941278696
1,4.089634760725807,-23.562683228387094,0.6944316803999999,1.7920000008331272e-06,-6.145161535187071e-08,0.0,1.6612432,6.181794167,-24.79075241,-23.25415802,0.3944316804,1.561044097
2,10.398447234568966,-21.21133922706897,1.1542672992,4.5053620691959395e-06,-1.4468965510161524e-06,1.668999999981935e-06,8.784806252,12.02877712,-22.03327179,-20.54862595,0.8542672992,2.0239684579999997
6,16.968527223237707,5.456685437532786,0.5160234153,0.037814397886830164,0.004853753752084522,-0.11254748700000006,15.41911793,18.79249382,5.066598892,6.487312317,0.2160234153,1.490242481
9,22.475973519630873,0.8349430929194228,0.49194114209999995,0.15716915862747172,-0.12198369406737997,-0.12936675549999999,20.8325882,25.21232796,-0.455927372,2.333358288,0.1919411421,1.471719623
10,27.39242588946154,-11.117334953092307,0.5704040706,-0.006490768371797628,0.08052659109936222,-0.07947385309999999,26.96412086,28.88345337,-13.50175142,-9.197629929,0.2704040706,1.468207479
11,24.12821936098039,-14.342223373039214,0.5925386131,-0.00401058245710928,0.1542417339399531,-0.0747391879,23.69381523,25.11349297,-16.307299615,-12.984634880000002,0.2925386131,1.486358643
