vehicle_id,position_x,position_y,position_z,mvec_x,mvec_y,mvec_z,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,bbox_z_min,bbox_z_max
0,10.208462959237805,-17.945185254390243,0.5428278625,0.0021567044253050227,0.008819868234756001,-0.20603871349999991,8.128678798500001,12.29871464,-19.27727509,-17.56117249,0.2428278625,1.9412787555
1,4.089632968725806,-23.56268316693548,0.6944316803999999,-3.306935489888474e-07,-6.177419109576476e-08,0.0,1.6612432,6.181781054,-24.790750505,-23.25415802,0.3944316804,1.5610436795
2,10.398442729206897,-21.211337780172418,1.1542656302,-4.241724136377911e-06,2.630517229817997e-06,-7.748999999446227e-07,8.784790993,12.02879906,-22.03327179,-20.54862595,0.8542656302,2.023969173
6,14.270422062887597,5.461232057854652,0.5140699923000001,0.08816624863356459,-0.018614336965912415,-0.1268623768999999,12.71125412,15.99232292,5.114285469,6.523532867,0.2140699923,1.488935471
9,19.80635878417476,1.6185533826487866,0.5265084535,0.13221468493932065,-0.05134055685266925,-0.11333787439999998,18.00555801,22.52229118,0.8009009361,2.87904644,0.2265084535,1.471698403
10,27.39012983716216,-13.259175661351351,0.5100845128,-0.039517945337838256,0.01646596291335456,-0.12465591729999992,26.98669815,28.69633198,-15.23646832,-11.91542244,0.2100845128,1.257457614
11,24.128090415892853,-16.775415385535716,0.5402067779999999,-0.07588888610715117,-0.01599781353571217,-0.11551770570000008,23.71270752,25.02224636,-18.05295944,-15.85519743,0.240206778,1.3389395474999999
