vehicle_id,position_x,position_y,position_z,mvec_x,mvec_y,mvec_z,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,bbox_z_min,bbox_z_max
0,10.208464471292682,-17.94518524304878,0.5428278625,0.0021596766989322447,0.008820177076220403,-0.20603871349999991,8.128677368,12.29870415,-19.27727509,-17.56117249,0.2428278625,1.941278815
1,4.089633299419355,-23.562683105161288,0.6944316803999999,-1.0052016128803132e-05,-1.8456451584825118e-06,0.0,1.6612432,6.181771755,-24.7907486,-23.25415802,0.3944316804,1.561044097
2,10.398446970931033,-21.211340410689647,1.1542664051,3.272034481582864e-06,-1.643620684887992e-06,7.748999999446227e-07,8.784775734,12.02878952,-22.03327179,-20.54862595,0.8542664051,2.023969173
6,6.24046538765,5.55129914878125,0.4963255256,0.09068982147692317,-0.02896900188541629,-0.14242053035000002,4.2509162425,7.6874918935,5.14013958,6.56005764,0.1963255256,1.487930655
7,27.57894301425,-22.266021155999997,0.58197149935,-0.08678485575000039,-0.3757178613333281,-0.16491834814999995,27.043787960000003,28.66047859,-23.8786087,-20.70271301,0.28197149935,1.470869362
