vehicle_id,position_x,position_y,position_z,mvec_x,mvec_y,mvec_z,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,bbox_z_min,bbox_z_max
0,10.20630479459375,-17.954005420125,0.748866576,-0.002158379918443032,-0.008819828600607593,0.2060341537,8.128680229,12.29871178,-19.27727509,-17.56117249,0.448866576,1.941278815
1,4.089643351435484,-23.56268125951613,0.6944316803999999,8.590709676958852e-06,1.9688709649301472e-06,0.0,1.6612432,6.181794167,-24.79075241,-23.25415802,0.3944316804,1.561044097
2,10.398443698896552,-21.211338767068963,1.1542656302,-3.535672414400892e-06,4.6000000608614755e-07,-1.668999999981935e-06,8.784775734,12.02879429,-22.03327179,-20.54862595,0.8542656302,2.023967743
4,3.9805022253222218,2.3074650076111114,0.7435833395,0.0975187377733091,0.029289925730677346,0.2634406984,1.360537529,5.750797272,1.585174084,3.499778748,0.4435833395,1.469170451
6,-1.5614862201274193,5.643926112887097,0.6447032571,0.06355319928470204,0.0044487153719448,0.11350284519999998,-3.488574505,-0.33848911525000003,5.160717964,6.5281324385,0.3447032571,1.487976849
