vehicle_id,position_x,position_y,position_z,mvec_x,mvec_y,mvec_z,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,bbox_z_min,bbox_z_max
0,10.20630479459375,-17.954005420125,0.748866576,-5.006562506792989e-07,1.074375042264819e-07,1.2218999999591418e-06,8.128680229,12.29871178,-19.27727509,-17.56117249,0.448866576,1.941278815
1,4.089643351435484,-23.56268125951613,0.6944316803999999,8.590709676958852e-06,1.9688709649301472e-06,0.0,1.6612432,6.181794167,-24.79075241,-23.25415802,0.3944316804,1.561044097
2,10.398443698896552,-21.211338767068963,1.1542656302,-3.535672414400892e-06,4.6000000608614755e-07,-1.668999999981935e-06,8.784775734,12.02879429,-22.03327179,-20.54862595,0.8542656302,2.023967743
6,20.009659211923072,5.450058889923078,0.6318780959,0.0860349189786298,0.02701098178974437,-0.002330452199999944,18.68463135,21.89933968,5.027198792,6.622123718,0.3318780959,1.487502933
10,27.448393068684208,-9.181701308710526,0.6453847468,-5.132500003668383e-06,2.0704276320060444e-06,-2.145799999908604e-06,26.9825058,28.66628456,-11.65876675,-7.065123081,0.3453847468,1.470177531
11,24.130428099014086,-11.269394376633802,0.6470200896,0.023047075357368385,0.0788423196945569,-2.548099999999387e-05,23.67567062,25.3425045,-13.00967884,-9.83163929,0.3470200896,1.493827105
15,34.45432694805555,9.915879143166666,0.73391899765,-0.020660081388896856,-0.013404263777777814,-0.0011366158499999113,34.08530045,35.46126938,8.481290817,11.12744045,0.43391899764999997,1.472022772
